index,index0,loss,index1,acc,index2,valloss,index3,valacc
92,92.0,0.008362241786478906,92.0,0.23189009159034135,92.0,0.007611166080634358,92.0,0.2172284644194757
93,93.0,0.008038755049000416,93.0,0.23189009159034135,93.0,0.007646334643583844,93.0,0.2172284644194757
94,94.0,0.008019519896588856,94.0,0.23189009159034135,94.0,0.007644893230054152,94.0,0.2172284644194757
95,95.0,0.008087857001942646,95.0,0.23189009159034135,95.0,0.007646645555335485,95.0,0.2172284644194757
96,96.0,0.007900746547377402,96.0,0.23189009159034135,96.0,0.007598544019256973,96.0,0.2172284644194757
97,97.0,0.008213623617229042,97.0,0.23189009159034135,97.0,0.007461106082012925,97.0,0.2172284644194757
98,98.0,0.008021323565842675,98.0,0.23189009159034135,98.0,0.007790098038296241,98.0,0.2172284644194757
99,99.0,0.00800422885975522,99.0,0.23189009159034135,99.0,0.0076048202770814454,99.0,0.2172284644194757
100,100.0,0.007972076685663366,100.0,0.23189009159034135,100.0,0.0075507151671033,100.0,0.2172284644194757
101,101.0,0.008247535449330951,101.0,0.23189009159034135,101.0,0.007582494978573216,101.0,0.2172284644194757
102,102.0,0.008321883057419181,102.0,0.23189009159034135,102.0,0.007449907902976994,102.0,0.2172284644194757
103,103.0,0.008132038040894652,103.0,0.23189009159034135,103.0,0.007476162240397506,103.0,0.2172284644194757
104,104.0,0.007902599625872196,104.0,0.23189009159034135,104.0,0.007767591503368558,104.0,0.2172284644194757
105,105.0,0.008011820288351757,105.0,0.23189009159034135,105.0,0.007771912111101972,105.0,0.2172284644194757
106,106.0,0.007871032973764416,106.0,0.23189009159034135,106.0,0.007647028018472794,106.0,0.2172284644194757
107,107.0,0.007600999420406381,107.0,0.23189009159034135,107.0,0.007596109702499507,107.0,0.2172284644194757
108,108.0,0.008557188428347491,108.0,0.23189009159034135,108.0,0.007471786424768775,108.0,0.2172284644194757
109,109.0,0.008092130553010281,109.0,0.23189009159034135,109.0,0.007583083122731483,109.0,0.2172284644194757
110,110.0,0.008036849234946427,110.0,0.2323064113238968,110.0,0.0075903773701955545,110.0,0.2172284644194757
111,111.0,0.007878151189477794,111.0,0.23189009159034135,111.0,0.007680547605041931,111.0,0.2172284644194757
112,112.0,0.00800333844102705,112.0,0.23189009159034135,112.0,0.007788848733592234,112.0,0.2172284644194757
113,113.0,0.007900680222243791,113.0,0.23189009159034135,113.0,0.007552603884052472,113.0,0.2172284644194757
114,114.0,0.007983862360757927,114.0,0.23189009159034135,114.0,0.00748649225064487,114.0,0.2172284644194757
115,115.0,0.008016029888586445,115.0,0.23189009159034135,115.0,0.007635103714781419,115.0,0.2172284644194757
116,116.0,0.008144032615190411,116.0,0.23189009159034135,116.0,0.007672650809312581,116.0,0.2172284644194757
117,117.0,0.00789989399784582,117.0,0.23189009159034135,117.0,0.008297627013916157,117.0,0.2172284644194757
118,118.0,0.008155122627508048,118.0,0.23189009159034135,118.0,0.007951778089383457,118.0,0.2172284644194757
119,119.0,0.008097726675576308,119.0,0.23189009159034135,119.0,0.007962213476861685,119.0,0.2172284644194757
120,120.0,0.007913339389899092,120.0,0.23189009159034135,120.0,0.007553980092793591,120.0,0.2172284644194757
121,121.0,0.007978121573640518,121.0,0.23189009159034135,121.0,0.007762019416101081,121.0,0.2172284644194757
122,122.0,0.007681389156551403,122.0,0.2323064113238968,122.0,0.007737558723988939,122.0,0.2172284644194757
123,123.0,0.008000724400016793,123.0,0.23189009159034135,123.0,0.007569883447768312,123.0,0.2172284644194757
124,124.0,0.007926719013693045,124.0,0.23189009159034135,124.0,0.007608806773713242,124.0,0.2172284644194757
125,125.0,0.007988749641249383,125.0,0.23189009159034135,125.0,0.007939693013952578,125.0,0.2172284644194757
126,126.0,0.007864071045002646,126.0,0.23189009159034135,126.0,0.00773205892932828,126.0,0.2172284644194757
