,Tn,Tx,Tavg,RH_avg,ff_x,ddd_x,ddd_car,bulan,RH_avg_5day,RH1,RH2,RH3,ff_x1,ff_x2,ff_x3,RR_avg5_day,RR1,RR2,RR3,RR
898,19.8,27.8,23.5,84.0,8.0,140.0,3,8,81.0,78.0,84.0,79.0,8.0,8.0,8.0,0.913846154,0.0,4.4,0.0,0.0
899,20.5,28.5,25.3,84.0,8.0,120.0,3,8,81.8,84.0,79.0,84.0,8.0,8.0,8.0,0.913846154,4.4,0.0,0.0,0.0
900,23.7,28.0,25.2,84.0,9.0,110.0,3,8,81.8,79.0,84.0,84.0,8.0,8.0,8.0,0.88,0.0,0.0,0.0,0.0
901,23.2,27.8,25.4,84.0,9.0,130.0,3,8,83.0,84.0,84.0,84.0,8.0,8.0,9.0,0.88,0.0,0.0,0.0,0.0
902,24.0,27.9,25.6,84.0,7.0,140.0,3,8,83.0,84.0,84.0,84.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0
903,23.6,27.9,25.5,82.0,8.0,160.0,4,8,84.0,84.0,84.0,84.0,9.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0
904,23.0,28.0,25.0,80.0,8.0,140.0,4,8,83.6,84.0,84.0,82.0,9.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0
905,22.9,28.0,25.0,81.0,8.0,130.0,3,8,82.8,84.0,82.0,80.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.053571429000000004
906,23.6,27.8,25.6,80.0,10.0,130.0,3,8,82.2,82.0,80.0,81.0,8.0,8.0,8.0,0.010714286000000002,0.0,0.0,0.053571429000000004,0.0
907,24.0,28.4,25.2,83.0,9.0,110.0,3,8,81.4,80.0,81.0,80.0,8.0,8.0,10.0,0.010714286000000002,0.0,0.053571429000000004,0.0,0.0
908,23.2,28.2,25.4,82.0,8.0,110.0,3,8,81.2,81.0,80.0,83.0,8.0,10.0,9.0,0.010714286000000002,0.053571429000000004,0.0,0.0,0.0
909,22.6,28.2,24.8,81.0,8.0,140.0,3,8,81.2,80.0,83.0,82.0,10.0,9.0,8.0,0.010714286000000002,0.0,0.0,0.0,0.0
910,22.3,28.2,24.5,78.0,8.0,120.0,3,8,81.4,83.0,82.0,81.0,9.0,8.0,8.0,0.010714286000000002,0.0,0.0,0.0,0.0
